Original_Sequence_Hex,Reconstructed_Sequence_Bytes,Label_True,Label_Pred,Mean_LogProb,Min_LogProb
626d696d696c696d706575647a707172696f626c75767169687a6d6e666572616265656e646568746c6675767166 6162737072636566666d73687a737a626169706e61696e7a6c766f6375746e617a676667726c7272637a7166637a67 666c69707a706369616e6473707673716f63637a6e6568666976 66626972627a6c766c737369696663677163736d6d6171616c6e70766d7a726e696274727a6e6f74 74656e736568646e627a64716565767176716f6e67726e6e627a7568646375706e6d627173666273,66ilil6m6eudzpqr7obl7v7i66mffemab6end6htffuvqf abspr6fffmhhzszaaipna6fzl6ccutna6gffrlrr7z6fczg6flip7pciands6vsqf zsaehiv bbirbz6v6ssiifc6qcs7aaqal66vm6r7ibtlzpot7teneehdnbzdqeevqvq67grnnbzuhdcupnmbqsfbs s6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.424024,-12.023247
6664666472627a67687a666865656f7273706f71666462646c6176746275657563666c717075737561636c686164627267726967 637664626763636174756f6f7269616e68646f6463696f646567716e6f70646e6f72676464677064726974686571746464646f706c6d7a73 7476656c6178756d65786863616f237063737a7a63626d3f67686c6c7967727063627a6d2d727263673f706e7a6866782d746864406c 6662676873767466696e6263616669727168636773696f65716e64636465 7a736875767a73617a627a736576756573696f6f667569646d6f6c737170736476716f6371767475646c67696d766d727373627a736163616171697a,6df6fb7ghzzeeeor7poqfdbdlavtbueuf66udaaaclhadb77 gg cvdbgcaatuoo7ian6addciocegq6opdno7g66gp6ritheqtd6doplmz1 tvelaxu6emhca##pc6z6c6m?ghl6yg6p6b6m-rrcg?p6hhf7-thd@l ffghs7tfinbca7irqic7eaoeqndcde  hhuvzsaz6z6evuesioofuidmolsqiddv6ocqvt76ggi4v6rssbz66caaqiz  66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.763592,-16.229717
75687a7661697a716d6775747269666e6670626e6372747466 7a686167646f737a6e686165726f6469666d6e7372727a6f627a67707261696d6d716c686d6c6168617376636f62767562686974706c7a616d657470 74656673666167747576676173616e75667175726266666c6562717a6661656f 6e636e737a746d7a6e63756d6f687a70647374756d6c6c737270697576687a7366636c6d6168637366676872626c667a6570726161 686d76696e6f767265727a7173706573656d6973696f626f7176676776737a6175646965737a666f,6hzvaiz6m6ut7ffnfpbncrttf6zhagdoiz6h7gdddifmns7rzo67g6raimm6l6m6ahasv6obvubhitplzzmetp tees6agtlvgas7uufq6ffffldbqzfaeo nsnszt66auaoohzpds6umllsr7iuvhz7fcc77hcsfghfblfzep7ea hmvi6ofrerz6spe6emi6ioboqfggvszaudieszpo v66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.406665,-12.308684
676f656863726d626173686f62667062756368676f7a7066647a727665676973726866706f70747472666e6c7a626566646170716874756d687176 646e6672656776707a656e686f6c6f756173656566636c7568656d6f6267716c636c71717a74656e7162747062766864 6467626f6f646f637265726167676c7466646f7366736c6f616e6c6f6d74717076706766656f71707a73766674716e6370 6c6c6f6e676664697671746673766374726d687473666d6d616669 6362617073646f7164737463686c76737a687263766f636d6f63727261756c617a71686d,6chhcrmbash7bfpbuch7cedddorvegisrhfpopt7rfnlzbefcaqqht6m6q6 dnrregvpz46lououas7efcluhcmob7qlclqqztenqltebvhd dgbiococ6ffasfachggqfsloanlomtqpfpgfeopssvctqnfh loon6fdi6qtlsvetlmhts7iaafi cbap7doqdcflhlvszhrccdcm6baaaeaazahm  66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-5.820413,-11.672364
3f657a6a6166642176687a75707a7162726d7572726e67692d73637a706d6d706b6570716c 6873686169736361716e6e6f75627064736e7a656e756e69666d676f69746e7174626674636467706d66677673706e 69617362676c6f7663686969767371756276726d6d756970626f6866766e6e66726e6f6d6e68746e6769667a626d7172616f74687566677a65 7a7a6262746c756774766765667069766d746469686863626962666362736f7a637a6e6575 6273646373756d617a666168636e6c61656f756c74626d736c6672736265,6emjaf6!vh7ufzq66uurr6gi-sczpm6p6epql  shiis7aq6ozdbpdsnzenn6ifmgoihn6tb67cd6pdf6vs7n iasbgl6vc6i666qubv6m6u6pb63fvn6frnomnhtniif6emqr7offuffze  bbbtl6g6vg62piwttdih77bi66cbs3zczn6u6bsdcsumazfa6cnlaeoil6b6s6fr6 ee 6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.2306314,-12.460756
6f717a66656e626567666c6d6862686968657375736c61646d687570656772646d746d 6d7664657468736565736365626d6e66757064706273626671696962727175656262736468 74636f726870616f71657069716c736e71687269647572736f6c76 726665747473766567646f61686566656d646c666c 696e6c76656f716d6e727068747671637a7370687068677467736d707a677366756c68,6eesenbegflmhbhieessslq6m6u7egr7mtm vvdeth7cssce6mnf6pdpdfbfqiib6quebfs7h tcohzpaoqeeiqlsnqhridurs6l7 rf7ttsveg6aahe6e4dlfl6nnlvezqmnrphtzqczsp6pdttlqmpz  u lh6e666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-5.8968396,-26.737196
6463726e64756c637a73736f697076697674626570656c75666e6270706f676364696e756f62647373 646f65757066717a6e73656d7a6871616966657268706c7167686f69657265627a6776686f69687168657561726d7570616e6771656965 74767267706e646576736d6571736c7065756e6776627372666c 646f626d6565706f6172636664636761656c7a766e61726963626f73627a68757571716d7a6175726474696e6d6e686f 736365756c716862766766677268636f6361736273716e64737a7064,6rdddufcz1siipvivtbepelufnaep7gcd6nuobdss doeup76z6semzzq6i4hhhplqooierebzg6h6ihqheea7m6p7gmee trevrg6ndess7eqs6peungvfs7fl  obieepoa6cf66gael6anaricbosbzhuuq6mzaud6nnmnho  ceepqhbvgfg6hcccas3sqnd6dp oe66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.467601,-13.347928
6f6f6262737a657a706d75627a72756272627264697a6d76707373646973707073766d756c6f6475716f7272616e716267766f616c6c64 7a657065616c69747265707574726172716f666d666d676e402372646e636368 75726164716778657a66697076647274716361746f6769727568637078696561697673667264736776616363746e 6461666d696174706f7675696e68636772646f7264726c7062616f 7a7a7970636c646e68667376786d642164756a75673f786167677a6e73726d,6bbrs76zp6ufzrubrbrccz6v6ss7is77ufillod6q6rranqb eaalld zeeaaeiaraqutrarqo6mfmgn@#ddncch uaazeeeez6i6vdrtlca7o6iauhcpxzaaivsfrd6gvzcdtn  afmiatpozuinhcgrdoddllbb6  zyyp7ldnhfs7x6d6duuuuuaag6znsrr  666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-5.2846427,-16.430956
6c6676716e6e68747a636263706e75706e73617a6f737566626f75 70736c746164616f706e6f6d72637569696767757a6c697567686564747265646c63637a6c647675767a6e686576717a7a6669 667a76617373676d64646e69616e656666706e716d736e7674766d747463626e6c656d676c61696163636264647464627569656170 6368736772737170767a716e71626f736269636e6665746e617265686e736f 61656c717569626c74686c6c657a75627a6d62647474,6aeqnnh6zcbcpnup76qeefbfb6a  7ltidaohn6mriuiia6hdii6ghddt6edlc6z6dv6vz1h7vqzffi  zaassgmddnia7e76pnqmsnvtvmtttbnlaallai6ccb7ttdb6ieaaa6fdfqpqpv6qn6bosbicnfean6heznoo aelquibl6allez6bzmbdcd b6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-5.857523,-15.459439
6e636171626c676276656d72726563696e627a716e65687a636361737a6c7266 766f7163646666626e7062626d6c637a66656362686976726966766e63626270716f61657075636465686f6970697a686c 6965636671666966637a6f63687270716365756e6d74726f666376666371616d757272666270686d6f68666e6770656569627a766c7364626f65 7564656268696762616373646d62736966756c616e6c76756e7a746f61686873 6d75676c6266766f73716f63696f6e616e6d656d686d75616875636f616e727467637575756973627a72706f6e6d6d64636765676571,"666bbgebverrr6iin66q6e6zccasz4rf6voqc6f6bnpbbmlczfecb7fv7i6fi6bbmqcfep7cdehoipiz66iincf6e6iiiifh7ffce6zmtrofcv6cq6mu6ffbvh6o7fngp6eibzvesdboecud66hig6acs3m6sifulcn6vunztlahgs7muglnf6osqocionan66mhmuahucdan6tgc6uiisbzr6o6mdd6gegeq

66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666",0,0,-6.4432206,-14.104309
6e7572657a67727170656c6365636372716463756171617162707a75617266716874716d7668736969717a7562666d69 6867676c616e766c676f6c6d716c6267727261686c6f6374736669706373707a74706c746d 7261697a726974726d6c6d6f7a757466617a67656f64757a747475706574756f7168756e6f75666764716f62707669656f6965617274 616161647376757373667464687264636c757368717067696276637166667a676264747074747069657068617a67656367736c65626d626f736e6d 796d763f6974737a2376726168716272626a6c6971746e656c7162216165666d636468776f6c746c75646e646c687363,6lr7crrqpeeeccrqdcuaqaqa6zuar7qhtqm6hsi6qzu6f61 hgeaan66gol6qlbgrralloctsfip6spdtp7mp riizritrmlmozutfazgeoduz6eaeqqu7qhyno6g6qoobp6ieoi6art7aaadsfussftdhr7cl7shqpgi6vcqffzgbdtptlpiephazgeccfle6mbosnm ymv?itlz#vraa6br7jli6tnllqb7aefmcch7oltl6d6dlh6ihp66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.3650312,-18.50986
6e616772636372766772697068676168677a65646c6e71626d6f627372617072666f7a746f6c6e71616467716169766d6e6d67 726f6866766e6d6d6c7a6c23406570616d21776c62636e66746c6464747a6876672372767566727a697361 6f666973646d73636566706c6c75727778786d62666e737571216370637a6c697a647a746c7a7a6963666a616474686479746e69 62736265766d6267716f726d7163687675667374686e6169646d7a74746e65656c6672757269716e766d6473766e6866757a6e75 72647467767566667a66647a6869697a6d676c736c737273727071626e62686c757a69756c627a6971707175697472637572,6agr6rrvg7iphgah7zeelnqbmobsr7rffoztolnaddgq6vvfdgg rohfvnmmlzl#@epa7!wlbcnftl76zzhvg6rv6frzi7afof6sdms6efpl6urwxxmb6nsuqfcp6zlizdzt6zmiaaj6d6ddytni bebeembg7ormqch77fst6naidmz7nnellfruri6ivmdsvn66uz6u rdtgvuffz6dzhi6zmglsl6lippqbnbhlueuaez66u6ziarcur  666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.3848224,-15.122665
64617373736867666d70766266727a6d64746269717573667661 6c6475736d756e75746867656874746f6967637470636270706964686f626d647a646c726468 666462716e7176636967756f75626c707171737a656f74696f707a67736467726674717a73727363756562726f766363 6d6470656d726876666d6d65666b696b686c726f656269656466627074737861626f7578777969773f6773657664756d6273 6f76727273646d767a616c7a74746d67647570746d7668637562766c6f6864747173696d66646262636d657a6369667a7675766e,6fs7ffffmpvbfrzm6tbi7iffva lnu7munuth6eht66icc6pc6ppahhoemdz6lrdh  dbqnq6cifu6ubl7q6szeoiiopzgs7g6f6qzsrscuebdovcc  dpe6rhvfm6efkiahlr7bbi6dfb6dsx6bouxw6i6egsevdumbs  vrrddmvza7zttmgdupt7vhcu7aoohdtqsimfdbbcmezcif6vufn  6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.484962,-12.4713335
656e6871626f6873667a76767a6372736367676c6c656871706f7465 68636d7a76687a716f68676d74686c71746e7068656d6f6c65707667 7a6f766e726f6c6f7073616d737475746f677a716e 646876616f726566657a64727165757a696d617269736c687461696666716d6e687a66696d6c647670 617665736d75697666616161647167696f6f62656d6368,6zrqbohffz6ccc6scggllehq8o67dhcmzvhzqohgth7eelhhemoeepvg  ovnrolopsam6tutogzqn  hhaor7ezzdrqezzimarislhtiiffq1fzqfimldvphvvesuuiff6addigioobemchff66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.0324254,-11.771892
6f73617573696867707275767575686d696467756f666775756e64626d7a74656165717a7462636e6c63646c716973666661 70757665636876696269616166696572757261676e7a62726f676e697061716f616361677a716d7173767169676c726f666f71646d69 687569687a647376716561656c7671737a736f7a7371697567736f646976627168 6f687561767464666e627270696e756d7573767a6e6e 757571666968646e6d6e67646e6e6765656d6c6f767a6165657672736f73657268,6dassihgpruuuuhmidguo6g6nndbm7teaeqzt7c6dc66qgsffa uuv6chvibiaafierm7gg6z67ogni7aqoacagzqaqqvq6llroio6d6i hu6hzd6vkeaelvqszs77sqiu6sodivbq7ohu6vddfnbr7i6umusznnuuqq6fhznnggdngg6mmlovzaeclrsoserh u66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.2221093,-14.217133
697a7163686865697369736f67707a62766770737a6f6c6d696d66687a6d73726e64666f767a66706566756f63716c766470616466706562736261 6f6c7464666c70706f7a6872656362716861616469706e67626462636469746d66666174767a716570 6765757262657568696e7a6567766e737176726f 6d7a62626e646866657a7563737a6c7475616c616f40216c62657976726f6d71646723646275687076647272 6f62716d6767736966616161766f716c63667066716169647572766f686167756c73656567687462,6occhzessioogpz6vgrszolm6mfhgmsrnffovzfpef7ocqlqd7edfpebsba oltlflpp7zh76cb7haadipngbdzcdi6mffatvqqep gezree6h6nze6vnsqhe  mzbwwhhf6uuc7z6taalqo@ lbeyvromqdgfbfupvdr   bhfgglffaeavoflcfpqq6ifu6vvgggil6rgghtlee66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-5.8715863,-19.544357
7176696870647276736c65746e687462766975617170647175726275 696f70696f646f686f637a6f6c6471716868716f71656f6373766c7a766873717a6871756c6274757a767a6f6f706f75 7676627a616f757064686e756465616c757675706870677572667361646e69727172736d67626f7569646c7172 636562716d7a72726f6272737366636c747a6d6d6761686c7473616468646d626870 67642d67636465663f66746a7166727469636576656966716d746165657672,6eih7aefiaetahtbviuaqpdqur6iiiopi7ihhcczo6d66hhqoqeocsv7zvhsqzhqulbtu6vzoopoo  zzzaoup7hnude6luvupjpgrrfsamniryssmgbouidwer cbb6eaaoobrssfclt7mggahltsaa6ddhhp gc-gcd66tftjqfrti76irrfqmtaeevr  66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.0403457,-18.08287
746670746472706e6d69766669736f6962696273736c617a7a7a707274617370 64627176626d716d697a756868717061636f747a64717471766271636163746f657268736d6764736568696572727662676d7061676d756272 736f667463767571656868637a6f706c69706f666f626269656e697a 726f616d7a717666766168706864766863686770766e6867666362636566706e 70747467676f767a66686d636376716c6d6962676f66,6cpddrp6vvvfisoi6assslazzzpr7assddbqvbmqmizuh666fottz6qtqvqq6ctt6ersmddsehierrvbqmpagmufr  ttccvuqe7cczopmipofobbieniw raamqqvfvahphivhchgpvnhgicbcedp76pttggovz16mccvqdmibg6f f66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-5.9383035,-15.1610775
6361656f6f62767163666368646c6f6767616d747a61636e 726662646e6c68616c666e736770666e6e6864706e73686962707a7266737a766e65627a686d716d 7a6571686d696f666f6d61636576686f7571677176766f6f627a6869 64687061646d6272766c667570717a7a73626771717273767167656176667576646c616e6e6f 6f6e61746c6e726c677476716c6664726c6f617664706c63726f6e7668726270696c,6aeooyv66hchdloggamtzacn  fbd6lhal6ns66fnhhdpnshibpzr7szvnebzhmwm eemhmiofomccemhoqqgqvvoobhhd dhpadm66vl7dpq1ssb6qqr7qqgeavfuv6aann6  natln6lttvqlfdrloavypdcr7nvhrbppl  666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.2208943,-11.373507
